Wikipedia_ID,Movie_Name,Release_Date,Box_Office_Revenue,Runtime,Languages,Countries,Genres,Continents,Year,Rated,Director,Writer,Actors,Plot,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,DVD,Production,Website,Response,totalSeasons,Oscar,Nomination_Awards,Win_Awards,Internet_Movie_Database_Rating,Rotten_Tomatoes_Rating,Metacritic_Rating,Comedy_Types
9548445,Archie: To Riverdale and Back Again,1990-05-06,,100.0,['English Language'],['United States of America'],['Comedy'],America,1990,Recommended Parental Agreement (AP),Dick Lowry,"John L. Goldwater, Evan Katz","Christopher Rich, Lauren Holly, Karen Kopins",The classic comic-book characters created by John L. Goldwater are brought to TV in a slightly older version. Here the characters are adults returning to their high-school reunion and remembering old times and romances from good o...,,https://m.media-amazon.com/images/M/MV5BMDg1OGExZGQtY2FkMy00ZmRhLTk0MGYtZWRiZTllNDE5YjUzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",,5.3,528,tt0099054,,,,True,,0,0,0,5.3,,,Comedy_Other
2659373,The Iron Maiden,1963-06-07,,98.0,['English Language'],['United Kingdom'],['Comedy'],Europe,2012,Not Rated,Marcos Mello Cavallaria,Marcos Mello Cavallaria,,"In war times, a young captain has it's squad shaken by a dancer-spy. Murder, torture, pain, pleasure and power - are elements that involve a internal/external duel between captain and prisoner, bringing out the 'man in uniform' va...",,,[],,,,tt3254718,,,,True,,0,0,0,,,,Comedy_Other
11013589,Der Mann im Pyjama,1981,,95.0,['German Language'],['West Germany'],['Comedy'],Europe,1981,Not Rated,"Christian Rateuke, Hartmann Schmige","Christian Rateuke, Hartmann Schmige","Otto Sander, Elke Sommer, Peter Fitz",,1 win,https://m.media-amazon.com/images/M/MV5BZjgyZTI3YWUtMmIzNy00ZTgxLTgyZGYtZTcyZGViZDVjMmYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,6.8,55,tt0082708,,,,True,,0,0,1,6.8,,,Comedy_Other
6273971,"The Prophet, the Gold and the Transylvanians",1978,,98.0,['Romanian Language'],['Romania'],['Comedy'],Europe,1978,Not Rated,"Dan Pita, Mircea Veroiu",Titus Popovici,"Ilarion Ciobanu, Ovidiu Iuliu Moldovan, Mircea Diaconu",Two Romanian Brothers go in a search for their Other Brother who went to the USA 10 years Prior.,,https://m.media-amazon.com/images/M/MV5BMjNmZjE4ZjktMzNkZC00ZjdkLWIzNGQtMDBiZmU3N2Y1NDQyXkEyXkFqcGdeQXVyMTM3OTE2Mzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,602,tt0078119,,,,True,,0,0,0,7.5,,,Comedy_Other
2051395,The Hallelujah Trail,1965-06-23,,159.0,['English Language'],['United States of America'],"['Action/Adventure', 'Western', 'Satire', 'Comedy', 'Comedy Western']",America,1965,All Audiences (TP),John Sturges,"William Gulick, John Gay","Burt Lancaster, Lee Remick, Jim Hutton","On its way to Denver, a cargo of whiskey destined for the miners, is sought after by the Temperance League, the U.S. Cavalry, the local Indians and the miners themselves.",1 nomination,https://m.media-amazon.com/images/M/MV5BMTExMTgyMDUwNDdeQTJeQWpwZ15BbWU3MDAwOTI5MzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",,6.5,"4,534",tt0059250,,,,True,,0,1,0,6.5,3.3,,Comedy_Western
28360743,Fools Rush In,1949-05-16,29481428.0,82.0,['English Language'],['United Kingdom'],['Comedy'],Europe,1997,Recommended Parental Agreement (AP),Andy Tennant,"Joan Taylor, Katherine Reback","Matthew Perry, Salma Hayek, Jon Tenney","After a one-night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions.",3 nominations,https://m.media-amazon.com/images/M/MV5BMzg4ZjA0OTUtNDIwMy00ODc0LTg2NzgtNTk4ODExYTJmYmZhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37.0,6.1,"40,182",tt0119141,,,,True,,0,3,0,6.1,3.1,3.7,Comedy_Other
20634623,George and Mildred,1980,,89.0,['Unknown'],['United Kingdom'],['Comedy'],Europe,1980,Not Rated,Peter Frazer-Jones,"Dick Sharples, Brian Cooke, Johnnie Mortimer","Yootha Joyce, Brian Murphy, Stratford Johns","Mildred decides that she and George will celebrate their anniversary at a posh London hotel - whatever the cost. However, a shady businessman mistakes George for a hit man.",,https://m.media-amazon.com/images/M/MV5BODA4NmJmYjEtMDRjMS00ZDlkLTgwNmUtYmYxN2Q0OWIzNjYxXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",,5.8,750,tt0138464,,,,True,,0,0,0,5.8,,,Comedy_Other
13931033,O Homem Que Desafiou o Diabo,2007-09-28,,106.0,['Portuguese Language'],['Brazil'],['Comedy'],America,2007,Not Rated,Moacyr Góes,"Moacyr Góes, Bráulio Tavares, Nei Leandro de Castro","Marcos Palmeira, Flávia Alessandra, Lívia Falcão","After being forced into a marriage and enduring a humiliating work routine in the hands of his father-in-law, Zé Araújo becomes the mythical Ojuara, an unconventional hero devoted to debauchery.",3 nominations,https://m.media-amazon.com/images/M/MV5BNTU4ODY0MDgtODg4Mi00ODE3LWIyZTctOWZiM2RjNWM2YmM1XkEyXkFqcGdeQXVyOTU3ODk4MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",,6.6,"1,021",tt0933033,,,,True,,0,3,0,6.6,,,Comedy_Other
23688100,Totò e le donne,1952,,103.0,['Italian Language'],['Italy'],['Comedy'],Europe,1952,Not Rated,"Steno, Mario Monicelli","Agenore Incrocci, Furio Scarpelli, Steno","Totò, Lea Padovani, Franca Faldini","Scaparro, who works in a fabric store, must deal with irritating clients, and when he comes home he finds an unsatisfied, intrusive wife.",,https://m.media-amazon.com/images/M/MV5BY2E4MzM2ZjctYjViNS00YmQwLTkyNTMtZjVjMDM0YzBiOTQwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,391,tt0045248,,,,True,,0,0,0,6.5,,,Comedy_Other
13955114,Hollywood Luck,1932-03-13,,21.0,['English Language'],['United States of America'],"['Short Film', 'Comedy', 'Black-and-white']",America,1932,Not Rated,Roscoe 'Fatty' Arbuckle,"Ernest Pagano, Jack Townley","Virginia Brooks, Rita Flynn, Betty Grable",,,,[],,,,tt0023016,,,,True,,0,0,0,,,,Comedy_Other
